Sum of Value,Column Labels,,,,,ID,Longitude,Latitude,# Unique Weather Stations,Longitude Instance,Latitude Instance,,,,,,,,
Row Labels(Date and ID),PRCP,TMAX,TMIN,Grand Total,,,,,1754,#N/A,#N/A,,,,,,,,
17500201,109646,160263,91924,361833,,,,,,#N/A,#N/A,,,,,,,,
ASN00001006,206,391,236,833,,ASN00001006,-15.51,128.1503,,-15.51,128.1503,,,,,,,,
ASN00001007,0,344,292,636,,ASN00001007,-13.7542,126.1485,,-13.7542,126.1485,,,,,,,,
ASN00001010,0,0,0,0,,ASN00001010,-14.7883,126.4964,,-14.7883,126.4964,,,,,,,,
ASN00001014,43,0,0,43,,ASN00001014,-15.9078,128.1289,,-15.9078,128.1289,,,,,,,,
ASN00001019,0,385,273,658,,ASN00001019,-14.2964,126.6453,,-14.2964,126.6453,,,,,,,,
ASN00001020,0,361,276,637,,ASN00001020,-14.09,126.3867,,-14.09,126.3867,,,,,,,,
ASN00001023,26,0,0,26,,ASN00001023,-16.0086,127.9806,,-16.0086,127.9806,,,,,,,,
ASN00001024,30,0,0,30,,ASN00001024,-15.9572,127.0628,,-15.9572,127.0628,,,,,,,,
ASN00001026,35,0,0,35,,ASN00001026,-15.7025,126.3786,,-15.7025,126.3786,,,,,,,,
ASN00001027,0,0,0,0,,ASN00001027,-15.6394,128.0803,,-15.6394,128.0803,,,,,,,,
ASN00001035,0,0,0,0,,ASN00001035,-15.5969,128.2781,,-15.5969,128.2781,,,,,,,,
ASN00002009,222,0,0,222,,ASN00002009,-16.4203,126.4411,,-16.4203,126.4411,,,,,,,,
ASN00002021,0,0,0,0,,ASN00002021,-18.3869,126.9892,,-18.3869,126.9892,,,,,,,,
ASN00002022,0,0,0,0,,ASN00002022,-18.016,126.3033,,-18.016,126.3033,,,,,,,,
ASN00002023,50,0,0,50,,ASN00002023,-18.0308,128.8942,,-18.0308,128.8942,,,,,,,,
ASN00002030,18,0,0,18,,ASN00002030,-17.2964,126.915,,-17.2964,126.915,,,,,,,,
ASN00002036,0,0,0,0,,ASN00002036,-17.3922,126.2306,,-17.3922,126.2306,,,,,,,,
ASN00002043,0,0,0,0,,ASN00002043,-18.3368,126.1243,,-18.3368,126.1243,,,,,,,,
ASN00002044,50,0,0,50,,ASN00002044,-16.1119,128.7414,,-16.1119,128.7414,,,,,,,,
ASN00002048,130,0,0,130,,ASN00002048,-18.2972,128.4419,,-18.2972,128.4419,,,,,,,,
ASN00002049,20,0,0,20,,ASN00002049,-18.1947,127.8147,,-18.1947,127.8147,,,,,,,,
ASN00002051,142,0,0,142,,ASN00002051,-19.5561,127.6644,,-19.5561,127.6644,,,,,,,,
ASN00002053,0,0,0,0,,ASN00002053,-17.6133,126.7442,,-17.6133,126.7442,,,,,,,,
ASN00002056,110,381,235,726,,ASN00002056,-15.7814,128.71,,-15.7814,128.71,,,,,,,,
ASN00002060,172,0,0,172,,ASN00002060,-16.0397,128.415,,-16.0397,128.415,,,,,,,,
ASN00002064,8,381,284,673,,ASN00002064,-16.6381,128.4517,,-16.6381,128.4517,,,,,,,,
ASN00002067,20,0,0,20,,ASN00002067,-15.9816,128.9991,,-15.9816,128.9991,,,,,,,,
ASN00002069,12,0,0,12,,ASN00002069,-16.4433,127.7836,,-16.4433,127.7836,,,,,,,,
ASN00003003,0,371,284,655,,ASN00003003,-17.9475,122.2353,,-17.9475,122.2353,,,,,,,,
ASN00003030,0,375,252,627,,ASN00010031,-31.3742,117.5861,,-18.6844,121.7803,,,,,,,,
ASN00003032,0,436,298,734,,ASN00003030,-18.6844,121.7803,,-17.3706,123.6611,,,,,,,,
ASN00003051,0,0,0,0,,ASN00003032,-17.3706,123.6611,,-16.7372,125.9086,,,,,,,,
ASN00003052,0,0,0,0,,ASN00003051,-16.7372,125.9086,,-16.8206,124.9158,,,,,,,,
ASN00003080,0,442,287,729,,ASN00003052,-16.8206,124.9158,,-17.5736,123.8217,,,,,,,,
ASN00003093,0,437,308,745,,ASN00003057,-16.4514,123.0086,,-18.1814,125.5619,,,,,,,,
ASN00003098,0,0,0,0,,ASN00003080,-17.5736,123.8217,,-17.0549,125.7108,,,,,,,,
ASN00004019,0,370,248,618,,ASN00003093,-18.1814,125.5619,,-19.7419,120.8436,,,,,,,,
ASN00004032,0,372,268,640,,ASN00003098,-17.0549,125.7108,,-20.3725,118.6317,,,,,,,,
ASN00004083,0,400,277,677,,ASN00004019,-19.7419,120.8436,,-20.7097,116.7742,,,,,,,,
ASN00004090,0,422,264,686,,ASN00004032,-20.3725,118.6317,,-20.7594,117.1583,,,,,,,,
ASN00004106,0,455,285,740,,ASN00004083,-20.7097,116.7742,,-21.1756,119.7497,,,,,,,,
ASN00005007,0,386,209,595,,ASN00004090,-20.7594,117.1583,,-22.2406,114.0967,,,,,,,,
ASN00005008,0,421,273,694,,ASN00004106,-21.1756,119.7497,,-21.1906,115.9797,,,,,,,,
ASN00005017,0,398,253,651,,ASN00005007,-22.2406,114.0967,,-21.6689,115.1092,,,,,,,,
ASN00005051,0,0,0,0,,ASN00005008,-21.1906,115.9797,,-21.9303,114.1256,,,,,,,,
ASN00005084,0,0,247,247,,ASN00005017,-21.6689,115.1092,,-21.4606,115.0197,,,,,,,,
ASN00005094,0,317,258,575,,ASN00005051,-21.9303,114.1256,,-20.875,115.4056,,,,,,,,
ASN00006011,0,292,228,520,,ASN00005084,-21.4606,115.0197,,-24.8878,113.67,,,,,,,,
ASN00006072,0,420,229,649,,ASN00005094,-20.875,115.4056,,-23.0314,115.0414,,,,,,,,
ASN00006105,0,316,214,530,,ASN00006011,-24.8878,113.67,,-25.8925,113.5772,,,,,,,,
ASN00007008,0,0,0,0,,ASN00006072,-23.0314,115.0414,,-25.5067,118.7933,,,,,,,,
ASN00007045,0,399,226,625,,ASN00006099,-26.8936,115.9561,,-26.6136,118.5372,,,,,,,,
ASN00007081,0,0,0,0,,ASN00006105,-25.8925,113.5772,,-28.8928,117.1333,,,,,,,,
ASN00007139,0,366,216,582,,ASN00007008,-25.5067,118.7933,,-29.2708,117.6836,,,,,,,,
ASN00007176,0,450,262,712,,ASN00007045,-26.6136,118.5372,,-23.4169,119.7989,,,,,,,,
ASN00007185,0,446,259,705,,ASN00007081,-28.8928,117.1333,,-23.1725,117.7494,,,,,,,,
ASN00007600,2,378,232,612,,ASN00007139,-29.2708,117.6836,,-28.1156,117.8425,,,,,,,,
ASN00008050,0,0,0,0,,ASN00007176,-23.4169,119.7989,,-28.7769,114.605,,,,,,,,
ASN00008095,0,371,182,553,,ASN00007185,-23.1725,117.7494,,-28.5367,115.5142,,,,,,,,
ASN00008100,0,0,0,0,,ASN00007600,-28.1156,117.8425,,-28.3456,114.6367,,,,,,,,
ASN00008137,0,337,155,492,,ASN00008050,-28.7769,114.605,,-30.8917,116.7186,,,,,,,,
ASN00008202,0,0,0,0,,ASN00008095,-28.5367,115.5142,,-30.6219,116.3794,,,,,,,,
ASN00008237,0,0,0,0,,ASN00008100,-28.3456,114.6367,,-28.6857,115.2806,,,,,,,,
ASN00008251,0,325,212,537,,ASN00008137,-30.8917,116.7186,,-27.7119,114.165,,,,,,,,
