Sum of Value,Column Labels,,,,ID,Longitude,Latitude,# Unique Weather Stations,Longitude Instance,Latitude Instance
Row Labels(Date and ID),TMAX,TMIN,Grand Total,,ITE00100554,45.4717,9.1892,1,#N/A,#N/A
17630101,-36,-50,-86,,,,,,#N/A,#N/A
ITE00100554,-36,-50,-86,,,,,,45.4717,9.1892
17630102,-26,-40,-66,,,,,,#N/A,#N/A
ITE00100554,-26,-40,-66,,,,,,45.4717,9.1892
17630103,-9,-29,-38,,,,,,#N/A,#N/A
ITE00100554,-9,-29,-38,,,,,,45.4717,9.1892
17630104,-4,-24,-28,,,,,,#N/A,#N/A
ITE00100554,-4,-24,-28,,,,,,45.4717,9.1892
17630105,21,1,22,,,,,,#N/A,#N/A
ITE00100554,21,1,22,,,,,,45.4717,9.1892
17630106,13,-7,6,,,,,,#N/A,#N/A
ITE00100554,13,-7,6,,,,,,45.4717,9.1892
17630107,24,2,26,,,,,,#N/A,#N/A
ITE00100554,24,2,26,,,,,,45.4717,9.1892
17630108,10,-22,-12,,,,,,#N/A,#N/A
ITE00100554,10,-22,-12,,,,,,45.4717,9.1892
17630109,24,2,26,,,,,,#N/A,#N/A
ITE00100554,24,2,26,,,,,,45.4717,9.1892
17630110,24,2,26,,,,,,#N/A,#N/A
ITE00100554,24,2,26,,,,,,45.4717,9.1892
17630111,25,3,28,,,,,,#N/A,#N/A
ITE00100554,25,3,28,,,,,,45.4717,9.1892
17630112,17,-17,0,,,,,,#N/A,#N/A
ITE00100554,17,-17,0,,,,,,45.4717,9.1892
17630113,17,-5,12,,,,,,#N/A,#N/A
ITE00100554,17,-5,12,,,,,,45.4717,9.1892
17630114,2,-20,-18,,,,,,#N/A,#N/A
ITE00100554,2,-20,-18,,,,,,45.4717,9.1892
17630115,-14,-38,-52,,,,,,#N/A,#N/A
ITE00100554,-14,-38,-52,,,,,,45.4717,9.1892
17630116,-27,-51,-78,,,,,,#N/A,#N/A
ITE00100554,-27,-51,-78,,,,,,45.4717,9.1892
17630117,-26,-50,-76,,,,,,#N/A,#N/A
ITE00100554,-26,-50,-76,,,,,,45.4717,9.1892
17630118,-36,-60,-96,,,,,,#N/A,#N/A
ITE00100554,-36,-60,-96,,,,,,45.4717,9.1892
17630119,-39,-63,-102,,,,,,#N/A,#N/A
ITE00100554,-39,-63,-102,,,,,,45.4717,9.1892
17630120,-21,-45,-66,,,,,,#N/A,#N/A
ITE00100554,-21,-45,-66,,,,,,45.4717,9.1892
17630121,18,-8,10,,,,,,#N/A,#N/A
ITE00100554,18,-8,10,,,,,,45.4717,9.1892
17630122,28,2,30,,,,,,#N/A,#N/A
ITE00100554,28,2,30,,,,,,45.4717,9.1892
17630123,27,1,28,,,,,,#N/A,#N/A
ITE00100554,27,1,28,,,,,,45.4717,9.1892
17630124,36,10,46,,,,,,#N/A,#N/A
ITE00100554,36,10,46,,,,,,45.4717,9.1892
17630125,24,-2,22,,,,,,#N/A,#N/A
ITE00100554,24,-2,22,,,,,,45.4717,9.1892
17630126,6,-22,-16,,,,,,#N/A,#N/A
ITE00100554,6,-22,-16,,,,,,45.4717,9.1892
17630127,1,-27,-26,,,,,,#N/A,#N/A
ITE00100554,1,-27,-26,,,,,,45.4717,9.1892
17630128,-5,-33,-38,,,,,,#N/A,#N/A
ITE00100554,-5,-33,-38,,,,,,45.4717,9.1892
17630129,-1,-29,-30,,,,,,#N/A,#N/A
ITE00100554,-1,-29,-30,,,,,,45.4717,9.1892
17630130,4,-16,-12,,,,,,#N/A,#N/A
ITE00100554,4,-16,-12,,,,,,45.4717,9.1892
17630131,9,-21,-12,,,,,,#N/A,#N/A
ITE00100554,9,-21,-12,,,,,,45.4717,9.1892
17630201,19,-11,8,,,,,,#N/A,#N/A
ITE00100554,19,-11,8,,,,,,45.4717,9.1892
17630202,28,-2,26,,,,,,#N/A,#N/A
ITE00100554,28,-2,26,,,,,,45.4717,9.1892
17630203,33,3,36,,,,,,#N/A,#N/A
ITE00100554,33,3,36,,,,,,45.4717,9.1892
17630204,39,9,48,,,,,,#N/A,#N/A
ITE00100554,39,9,48,,,,,,45.4717,9.1892
17630205,65,27,92,,,,,,#N/A,#N/A
ITE00100554,65,27,92,,,,,,45.4717,9.1892
17630206,65,33,98,,,,,,#N/A,#N/A
ITE00100554,65,33,98,,,,,,45.4717,9.1892
17630207,65,33,98,,,,,,#N/A,#N/A
ITE00100554,65,33,98,,,,,,45.4717,9.1892
17630208,72,40,112,,,,,,#N/A,#N/A
ITE00100554,72,40,112,,,,,,45.4717,9.1892
17630209,90,50,140,,,,,,#N/A,#N/A
ITE00100554,90,50,140,,,,,,45.4717,9.1892
17630210,70,20,90,,,,,,#N/A,#N/A
ITE00100554,70,20,90,,,,,,45.4717,9.1892
17630211,73,49,122,,,,,,#N/A,#N/A
ITE00100554,73,49,122,,,,,,45.4717,9.1892
17630212,71,47,118,,,,,,#N/A,#N/A
ITE00100554,71,47,118,,,,,,45.4717,9.1892
17630213,71,29,100,,,,,,#N/A,#N/A
ITE00100554,71,29,100,,,,,,45.4717,9.1892
17630214,57,23,80,,,,,,#N/A,#N/A
ITE00100554,57,23,80,,,,,,45.4717,9.1892
17630215,54,2,56,,,,,,#N/A,#N/A
ITE00100554,54,2,56,,,,,,45.4717,9.1892
17630216,57,5,62,,,,,,#N/A,#N/A
ITE00100554,57,5,62,,,,,,45.4717,9.1892
17630217,67,13,80,,,,,,#N/A,#N/A
ITE00100554,67,13,80,,,,,,45.4717,9.1892
17630218,80,26,106,,,,,,#N/A,#N/A
ITE00100554,80,26,106,,,,,,45.4717,9.1892
17630219,90,36,126,,,,,,#N/A,#N/A
ITE00100554,90,36,126,,,,,,45.4717,9.1892
17630220,95,41,136,,,,,,#N/A,#N/A
ITE00100554,95,41,136,,,,,,45.4717,9.1892
17630221,109,53,162,,,,,,#N/A,#N/A
ITE00100554,109,53,162,,,,,,45.4717,9.1892
17630222,99,53,152,,,,,,#N/A,#N/A
