Sum of Value,Column Labels,,,,ID,Longitude,Latitude,#Unique Weather Stations,Longitude Instance,Latitude Instance
Row Labels(Date and ID),TMAX,TMIN,Grand Total,,ITE00100554,45.4717,9.1892,1,#N/A,#N/A
17640101,64,44,108,,,,,,#N/A,#N/A
ITE00100554,64,44,108,,,,,,45.4717,9.1892
17640102,46,26,72,,,,,,#N/A,#N/A
ITE00100554,46,26,72,,,,,,45.4717,9.1892
17640103,59,39,98,,,,,,#N/A,#N/A
ITE00100554,59,39,98,,,,,,45.4717,9.1892
17640104,59,29,88,,,,,,#N/A,#N/A
ITE00100554,59,29,88,,,,,,45.4717,9.1892
17640105,23,3,26,,,,,,#N/A,#N/A
ITE00100554,23,3,26,,,,,,45.4717,9.1892
17640106,39,19,58,,,,,,#N/A,#N/A
ITE00100554,39,19,58,,,,,,45.4717,9.1892
17640107,52,30,82,,,,,,#N/A,#N/A
ITE00100554,52,30,82,,,,,,45.4717,9.1892
17640108,69,47,116,,,,,,#N/A,#N/A
ITE00100554,69,47,116,,,,,,45.4717,9.1892
17640109,40,18,58,,,,,,#N/A,#N/A
ITE00100554,40,18,58,,,,,,45.4717,9.1892
17640110,25,3,28,,,,,,#N/A,#N/A
ITE00100554,25,3,28,,,,,,45.4717,9.1892
17640111,32,16,48,,,,,,#N/A,#N/A
ITE00100554,32,16,48,,,,,,45.4717,9.1892
17640112,49,21,70,,,,,,#N/A,#N/A
ITE00100554,49,21,70,,,,,,45.4717,9.1892
17640113,40,6,46,,,,,,#N/A,#N/A
ITE00100554,40,6,46,,,,,,45.4717,9.1892
17640114,37,15,52,,,,,,#N/A,#N/A
ITE00100554,37,15,52,,,,,,45.4717,9.1892
17640115,21,5,26,,,,,,#N/A,#N/A
ITE00100554,21,5,26,,,,,,45.4717,9.1892
17640116,26,2,28,,,,,,#N/A,#N/A
ITE00100554,26,2,28,,,,,,45.4717,9.1892
17640117,20,-4,16,,,,,,#N/A,#N/A
ITE00100554,20,-4,16,,,,,,45.4717,9.1892
17640118,32,8,40,,,,,,#N/A,#N/A
ITE00100554,32,8,40,,,,,,45.4717,9.1892
17640119,35,11,46,,,,,,#N/A,#N/A
ITE00100554,35,11,46,,,,,,45.4717,9.1892
17640120,27,-11,16,,,,,,#N/A,#N/A
ITE00100554,27,-11,16,,,,,,45.4717,9.1892
17640121,44,6,50,,,,,,#N/A,#N/A
ITE00100554,44,6,50,,,,,,45.4717,9.1892
17640122,28,-10,18,,,,,,#N/A,#N/A
ITE00100554,28,-10,18,,,,,,45.4717,9.1892
17640123,39,1,40,,,,,,#N/A,#N/A
ITE00100554,39,1,40,,,,,,45.4717,9.1892
17640124,21,-19,2,,,,,,#N/A,#N/A
ITE00100554,21,-19,2,,,,,,45.4717,9.1892
17640125,28,-12,16,,,,,,#N/A,#N/A
ITE00100554,28,-12,16,,,,,,45.4717,9.1892
17640126,33,-7,26,,,,,,#N/A,#N/A
ITE00100554,33,-7,26,,,,,,45.4717,9.1892
17640127,34,-8,26,,,,,,#N/A,#N/A
ITE00100554,34,-8,26,,,,,,45.4717,9.1892
17640128,35,7,42,,,,,,#N/A,#N/A
ITE00100554,35,7,42,,,,,,45.4717,9.1892
17640129,65,31,96,,,,,,#N/A,#N/A
ITE00100554,65,31,96,,,,,,45.4717,9.1892
17640130,59,17,76,,,,,,#N/A,#N/A
ITE00100554,59,17,76,,,,,,45.4717,9.1892
17640131,37,1,38,,,,,,#N/A,#N/A
ITE00100554,37,1,38,,,,,,45.4717,9.1892
17640201,50,6,56,,,,,,#N/A,#N/A
ITE00100554,50,6,56,,,,,,45.4717,9.1892
17640202,47,3,50,,,,,,#N/A,#N/A
ITE00100554,47,3,50,,,,,,45.4717,9.1892
17640203,61,15,76,,,,,,#N/A,#N/A
ITE00100554,61,15,76,,,,,,45.4717,9.1892
17640204,61,39,100,,,,,,#N/A,#N/A
ITE00100554,61,39,100,,,,,,45.4717,9.1892
17640205,92,46,138,,,,,,#N/A,#N/A
ITE00100554,92,46,138,,,,,,45.4717,9.1892
17640206,74,28,102,,,,,,#N/A,#N/A
ITE00100554,74,28,102,,,,,,45.4717,9.1892
17640207,69,37,106,,,,,,#N/A,#N/A
ITE00100554,69,37,106,,,,,,45.4717,9.1892
17640208,75,43,118,,,,,,#N/A,#N/A
ITE00100554,75,43,118,,,,,,45.4717,9.1892
17640209,87,55,142,,,,,,#N/A,#N/A
ITE00100554,87,55,142,,,,,,45.4717,9.1892
17640210,84,62,146,,,,,,#N/A,#N/A
ITE00100554,84,62,146,,,,,,45.4717,9.1892
17640211,77,43,120,,,,,,#N/A,#N/A
ITE00100554,77,43,120,,,,,,45.4717,9.1892
17640212,92,58,150,,,,,,#N/A,#N/A
ITE00100554,92,58,150,,,,,,45.4717,9.1892
17640213,82,30,112,,,,,,#N/A,#N/A
ITE00100554,82,30,112,,,,,,45.4717,9.1892
17640214,72,30,102,,,,,,#N/A,#N/A
ITE00100554,72,30,102,,,,,,45.4717,9.1892
17640215,57,21,78,,,,,,#N/A,#N/A
ITE00100554,57,21,78,,,,,,45.4717,9.1892
17640216,56,20,76,,,,,,#N/A,#N/A
ITE00100554,56,20,76,,,,,,45.4717,9.1892
17640217,56,20,76,,,,,,#N/A,#N/A
ITE00100554,56,20,76,,,,,,45.4717,9.1892
17640218,83,29,112,,,,,,#N/A,#N/A
ITE00100554,83,29,112,,,,,,45.4717,9.1892
17640219,92,38,130,,,,,,#N/A,#N/A
ITE00100554,92,38,130,,,,,,45.4717,9.1892
17640220,96,42,138,,,,,,#N/A,#N/A
ITE00100554,96,42,138,,,,,,45.4717,9.1892
17640221,148,92,240,,,,,,#N/A,#N/A
ITE00100554,148,92,240,,,,,,45.4717,9.1892
17640222,109,53,162,,,,,,#N/A,#N/A
ITE00100554,109,53,162,,,,,,45.4717,9.1892
17640223,108,52,160,,,,,,#N/A,#N/A
ITE00100554,108,52,160,,,,,,45.4717,9.1892
17640224,111,65,176,,,,,,#N/A,#N/A
ITE00100554,111,65,176,,,,,,45.4717,9.1892
17640225,59,33,92,,,,,,#N/A,#N/A
ITE00100554,59,33,92,,,,,,45.4717,9.1892
17640226,57,19,76,,,,,,#N/A,#N/A
ITE00100554,57,19,76,,,,,,45.4717,9.1892
17640227,105,57,162,,,,,,#N/A,#N/A
ITE00100554,105,57,162,,,,,,45.4717,9.1892
17640228,64,36,100,,,,,,#N/A,#N/A
ITE00100554,64,36,100,,,,,,45.4717,9.1892
17640229,70,30,100,,,,,,#N/A,#N/A
ITE00100554,70,30,100,,,,,,45.4717,9.1892
17640301,78,38,116,,,,,,#N/A,#N/A
ITE00100554,78,38,116,,,,,,45.4717,9.1892
17640302,76,36,112,,,,,,#N/A,#N/A
ITE00100554,76,36,112,,,,,,45.4717,9.1892
17640303,70,42,112,,,,,,#N/A,#N/A
ITE00100554,70,42,112,,,,,,45.4717,9.1892
17640304,85,45,130,,,,,,#N/A,#N/A
ITE00100554,85,45,130,,,,,,45.4717,9.1892
17640305,93,33,126,,,,,,#N/A,#N/A
ITE00100554,93,33,126,,,,,,45.4717,9.1892
17640306,76,14,90,,,,,,#N/A,#N/A
ITE00100554,76,14,90,,,,,,45.4717,9.1892
17640307,75,33,108,,,,,,#N/A,#N/A
ITE00100554,75,33,108,,,,,,45.4717,9.1892
17640308,54,26,80,,,,,,#N/A,#N/A
ITE00100554,54,26,80,,,,,,45.4717,9.1892
17640309,42,14,56,,,,,,#N/A,#N/A
ITE00100554,42,14,56,,,,,,45.4717,9.1892
17640310,48,20,68,,,,,,#N/A,#N/A
ITE00100554,48,20,68,,,,,,45.4717,9.1892
17640311,84,32,116,,,,,,#N/A,#N/A
ITE00100554,84,32,116,,,,,,45.4717,9.1892
17640312,80,28,108,,,,,,#N/A,#N/A
ITE00100554,80,28,108,,,,,,45.4717,9.1892
17640313,96,32,128,,,,,,#N/A,#N/A
ITE00100554,96,32,128,,,,,,45.4717,9.1892
17640314,79,27,106,,,,,,#N/A,#N/A
ITE00100554,79,27,106,,,,,,45.4717,9.1892
17640315,97,33,130,,,,,,#N/A,#N/A
ITE00100554,97,33,130,,,,,,45.4717,9.1892
17640316,91,27,118,,,,,,#N/A,#N/A
ITE00100554,91,27,118,,,,,,45.4717,9.1892
17640317,86,22,108,,,,,,#N/A,#N/A
ITE00100554,86,22,108,,,,,,45.4717,9.1892
17640318,92,28,120,,,,,,#N/A,#N/A
ITE00100554,92,28,120,,,,,,45.4717,9.1892
17640319,109,43,152,,,,,,#N/A,#N/A
ITE00100554,109,43,152,,,,,,45.4717,9.1892
17640320,116,72,188,,,,,,#N/A,#N/A
ITE00100554,116,72,188,,,,,,45.4717,9.1892
17640321,85,55,140,,,,,,#N/A,#N/A
ITE00100554,85,55,140,,,,,,45.4717,9.1892
17640322,108,54,162,,,,,,#N/A,#N/A
ITE00100554,108,54,162,,,,,,45.4717,9.1892
