Sum of Value,Column Labels,,,,ID,Longitude,Latitude,#Unique Weather Stations ,Longitude Instance,Latitude Instance
Row Labels(Date and ID),TMAX,TMIN,Grand Total,,ITE00100554,45.4717,9.1892,1,#N/A,#N/A
17650101,66,52,118,,,,,,#N/A,#N/A
ITE00100554,66,52,118,,,,,,45.4717,9.1892
17650102,63,49,112,,,,,,#N/A,#N/A
ITE00100554,63,49,112,,,,,,45.4717,9.1892
17650103,68,54,122,,,,,,#N/A,#N/A
ITE00100554,68,54,122,,,,,,45.4717,9.1892
17650104,76,56,132,,,,,,#N/A,#N/A
ITE00100554,76,56,132,,,,,,45.4717,9.1892
17650105,68,48,116,,,,,,#N/A,#N/A
ITE00100554,68,48,116,,,,,,45.4717,9.1892
17650106,56,36,92,,,,,,#N/A,#N/A
ITE00100554,56,36,92,,,,,,45.4717,9.1892
17650107,61,47,108,,,,,,#N/A,#N/A
ITE00100554,61,47,108,,,,,,45.4717,9.1892
17650108,74,52,126,,,,,,#N/A,#N/A
ITE00100554,74,52,126,,,,,,45.4717,9.1892
17650109,53,39,92,,,,,,#N/A,#N/A
ITE00100554,53,39,92,,,,,,45.4717,9.1892
17650110,72,50,122,,,,,,#N/A,#N/A
ITE00100554,72,50,122,,,,,,45.4717,9.1892
17650111,64,42,106,,,,,,#N/A,#N/A
ITE00100554,64,42,106,,,,,,45.4717,9.1892
17650112,64,36,100,,,,,,#N/A,#N/A
ITE00100554,64,36,100,,,,,,45.4717,9.1892
17650113,84,56,140,,,,,,#N/A,#N/A
ITE00100554,84,56,140,,,,,,45.4717,9.1892
17650114,78,62,140,,,,,,#N/A,#N/A
ITE00100554,78,62,140,,,,,,45.4717,9.1892
17650115,82,54,136,,,,,,#N/A,#N/A
ITE00100554,82,54,136,,,,,,45.4717,9.1892
17650116,72,44,116,,,,,,#N/A,#N/A
ITE00100554,72,44,116,,,,,,45.4717,9.1892
17650117,63,47,110,,,,,,#N/A,#N/A
ITE00100554,63,47,110,,,,,,45.4717,9.1892
17650118,71,47,118,,,,,,#N/A,#N/A
ITE00100554,71,47,118,,,,,,45.4717,9.1892
17650119,53,17,70,,,,,,#N/A,#N/A
ITE00100554,53,17,70,,,,,,45.4717,9.1892
17650120,45,7,52,,,,,,#N/A,#N/A
ITE00100554,45,7,52,,,,,,45.4717,9.1892
17650121,44,6,50,,,,,,#N/A,#N/A
ITE00100554,44,6,50,,,,,,45.4717,9.1892
17650122,44,18,62,,,,,,#N/A,#N/A
ITE00100554,44,18,62,,,,,,45.4717,9.1892
17650123,53,35,88,,,,,,#N/A,#N/A
ITE00100554,53,35,88,,,,,,45.4717,9.1892
17650124,63,45,108,,,,,,#N/A,#N/A
ITE00100554,63,45,108,,,,,,45.4717,9.1892
17650125,67,49,116,,,,,,#N/A,#N/A
ITE00100554,67,49,116,,,,,,45.4717,9.1892
17650126,83,55,138,,,,,,#N/A,#N/A
ITE00100554,83,55,138,,,,,,45.4717,9.1892
17650127,76,34,110,,,,,,#N/A,#N/A
ITE00100554,76,34,110,,,,,,45.4717,9.1892
17650128,72,38,110,,,,,,#N/A,#N/A
ITE00100554,72,38,110,,,,,,45.4717,9.1892
17650129,90,56,146,,,,,,#N/A,#N/A
ITE00100554,90,56,146,,,,,,45.4717,9.1892
17650130,76,42,118,,,,,,#N/A,#N/A
ITE00100554,76,42,118,,,,,,45.4717,9.1892
17650131,74,44,118,,,,,,#N/A,#N/A
ITE00100554,74,44,118,,,,,,45.4717,9.1892
17650201,46,16,62,,,,,,#N/A,#N/A
ITE00100554,46,16,62,,,,,,45.4717,9.1892
17650202,36,6,42,,,,,,#N/A,#N/A
ITE00100554,36,6,42,,,,,,45.4717,9.1892
17650203,36,6,42,,,,,,#N/A,#N/A
ITE00100554,36,6,42,,,,,,45.4717,9.1892
17650204,32,10,42,,,,,,#N/A,#N/A
ITE00100554,32,10,42,,,,,,45.4717,9.1892
17650205,39,17,56,,,,,,#N/A,#N/A
ITE00100554,39,17,56,,,,,,45.4717,9.1892
17650206,59,37,96,,,,,,#N/A,#N/A
ITE00100554,59,37,96,,,,,,45.4717,9.1892
17650207,75,43,118,,,,,,#N/A,#N/A
ITE00100554,75,43,118,,,,,,45.4717,9.1892
17650208,70,38,108,,,,,,#N/A,#N/A
ITE00100554,70,38,108,,,,,,45.4717,9.1892
17650209,61,39,100,,,,,,#N/A,#N/A
ITE00100554,61,39,100,,,,,,45.4717,9.1892
17650210,58,18,76,,,,,,#N/A,#N/A
ITE00100554,58,18,76,,,,,,45.4717,9.1892
17650211,45,5,50,,,,,,#N/A,#N/A
ITE00100554,45,5,50,,,,,,45.4717,9.1892
17650212,36,-14,22,,,,,,#N/A,#N/A
ITE00100554,36,-14,22,,,,,,45.4717,9.1892
17650213,30,-12,18,,,,,,#N/A,#N/A
ITE00100554,30,-12,18,,,,,,45.4717,9.1892
17650214,45,11,56,,,,,,#N/A,#N/A
ITE00100554,45,11,56,,,,,,45.4717,9.1892
17650215,30,-12,18,,,,,,#N/A,#N/A
ITE00100554,30,-12,18,,,,,,45.4717,9.1892
17650216,24,-18,6,,,,,,#N/A,#N/A
ITE00100554,24,-18,6,,,,,,45.4717,9.1892
17650217,9,-35,-26,,,,,,#N/A,#N/A
ITE00100554,9,-35,-26,,,,,,45.4717,9.1892
17650218,18,-6,12,,,,,,#N/A,#N/A
ITE00100554,18,-6,12,,,,,,45.4717,9.1892
17650219,14,-12,2,,,,,,#N/A,#N/A
ITE00100554,14,-12,2,,,,,,45.4717,9.1892
17650220,26,0,26,,,,,,#N/A,#N/A
ITE00100554,26,0,26,,,,,,45.4717,9.1892
17650221,32,-6,26,,,,,,#N/A,#N/A
ITE00100554,32,-6,26,,,,,,45.4717,9.1892
17650222,35,-3,32,,,,,,#N/A,#N/A
ITE00100554,35,-3,32,,,,,,45.4717,9.1892
17650223,45,7,52,,,,,,#N/A,#N/A
ITE00100554,45,7,52,,,,,,45.4717,9.1892
17650224,57,1,58,,,,,,#N/A,#N/A
ITE00100554,57,1,58,,,,,,45.4717,9.1892
17650225,65,7,72,,,,,,#N/A,#N/A
ITE00100554,65,7,72,,,,,,45.4717,9.1892
17650226,63,5,68,,,,,,#N/A,#N/A
ITE00100554,63,5,68,,,,,,45.4717,9.1892
17650227,65,7,72,,,,,,#N/A,#N/A
ITE00100554,65,7,72,,,,,,45.4717,9.1892
17650228,23,-5,18,,,,,,#N/A,#N/A
ITE00100554,23,-5,18,,,,,,45.4717,9.1892
17650301,58,30,88,,,,,,#N/A,#N/A
ITE00100554,58,30,88,,,,,,45.4717,9.1892
17650302,60,20,80,,,,,,#N/A,#N/A
ITE00100554,60,20,80,,,,,,45.4717,9.1892
17650303,73,33,106,,,,,,#N/A,#N/A
ITE00100554,73,33,106,,,,,,45.4717,9.1892
17650304,78,18,96,,,,,,#N/A,#N/A
ITE00100554,78,18,96,,,,,,45.4717,9.1892
17650305,78,18,96,,,,,,#N/A,#N/A
ITE00100554,78,18,96,,,,,,45.4717,9.1892
17650306,81,39,120,,,,,,#N/A,#N/A
ITE00100554,81,39,120,,,,,,45.4717,9.1892
