Sum of Value,Column Labels,,,,ID,Longitude,Latitude,#Unique Weater Stations,Longitude Instance,Latitude Instance
Row Labels(Date and ID),TMAX,TMIN,Grand Total,,ITE00100554,45.4717,9.1892,1,#N/A,#N/A
17660101,-26,-50,-76,,,,,,#N/A,#N/A
ITE00100554,-26,-50,-76,,,,,,45.4717,9.1892
17660102,-9,-29,-38,,,,,,#N/A,#N/A
ITE00100554,-9,-29,-38,,,,,,45.4717,9.1892
17660103,1,-13,-12,,,,,,#N/A,#N/A
ITE00100554,1,-13,-12,,,,,,45.4717,9.1892
17660104,15,1,16,,,,,,#N/A,#N/A
ITE00100554,15,1,16,,,,,,45.4717,9.1892
17660105,6,-14,-8,,,,,,#N/A,#N/A
ITE00100554,6,-14,-8,,,,,,45.4717,9.1892
17660106,3,-11,-8,,,,,,#N/A,#N/A
ITE00100554,3,-11,-8,,,,,,45.4717,9.1892
17660107,-7,-33,-40,,,,,,#N/A,#N/A
ITE00100554,-7,-33,-40,,,,,,45.4717,9.1892
17660108,-47,-69,-116,,,,,,#N/A,#N/A
ITE00100554,-47,-69,-116,,,,,,45.4717,9.1892
17660109,-43,-69,-112,,,,,,#N/A,#N/A
ITE00100554,-43,-69,-112,,,,,,45.4717,9.1892
17660110,-28,-42,-70,,,,,,#N/A,#N/A
ITE00100554,-28,-42,-70,,,,,,45.4717,9.1892
17660111,-31,-57,-88,,,,,,#N/A,#N/A
ITE00100554,-31,-57,-88,,,,,,45.4717,9.1892
17660112,-19,-53,-72,,,,,,#N/A,#N/A
ITE00100554,-19,-53,-72,,,,,,45.4717,9.1892
17660113,-39,-73,-112,,,,,,#N/A,#N/A
ITE00100554,-39,-73,-112,,,,,,45.4717,9.1892
17660114,-34,-68,-102,,,,,,#N/A,#N/A
ITE00100554,-34,-68,-102,,,,,,45.4717,9.1892
17660115,-29,-63,-92,,,,,,#N/A,#N/A
ITE00100554,-29,-63,-92,,,,,,45.4717,9.1892
17660116,-18,-54,-72,,,,,,#N/A,#N/A
ITE00100554,-18,-54,-72,,,,,,45.4717,9.1892
17660117,-20,-56,-76,,,,,,#N/A,#N/A
ITE00100554,-20,-56,-76,,,,,,45.4717,9.1892
17660118,-15,-51,-66,,,,,,#N/A,#N/A
ITE00100554,-15,-51,-66,,,,,,45.4717,9.1892
17660119,4,-32,-28,,,,,,#N/A,#N/A
ITE00100554,4,-32,-28,,,,,,45.4717,9.1892
17660120,6,-32,-26,,,,,,#N/A,#N/A
ITE00100554,6,-32,-26,,,,,,45.4717,9.1892
17660121,-12,-50,-62,,,,,,#N/A,#N/A
ITE00100554,-12,-50,-62,,,,,,45.4717,9.1892
17660122,-5,-43,-48,,,,,,#N/A,#N/A
ITE00100554,-5,-43,-48,,,,,,45.4717,9.1892
17660123,-11,-49,-60,,,,,,#N/A,#N/A
ITE00100554,-11,-49,-60,,,,,,45.4717,9.1892
17660124,1,-39,-38,,,,,,#N/A,#N/A
ITE00100554,1,-39,-38,,,,,,45.4717,9.1892
17660125,-11,-51,-62,,,,,,#N/A,#N/A
ITE00100554,-11,-51,-62,,,,,,45.4717,9.1892
17660126,-4,-44,-48,,,,,,#N/A,#N/A
ITE00100554,-4,-44,-48,,,,,,45.4717,9.1892
17660127,0,-42,-42,,,,,,#N/A,#N/A
ITE00100554,0,-42,-42,,,,,,45.4717,9.1892
17660128,27,-15,12,,,,,,#N/A,#N/A
ITE00100554,27,-15,12,,,,,,45.4717,9.1892
17660129,30,-12,18,,,,,,#N/A,#N/A
ITE00100554,30,-12,18,,,,,,45.4717,9.1892
17660130,21,-21,0,,,,,,#N/A,#N/A
ITE00100554,21,-21,0,,,,,,45.4717,9.1892
17660131,19,-25,-6,,,,,,#N/A,#N/A
ITE00100554,19,-25,-6,,,,,,45.4717,9.1892
17660201,23,-13,10,,,,,,#N/A,#N/A
ITE00100554,23,-13,10,,,,,,45.4717,9.1892
17660202,11,-9,2,,,,,,#N/A,#N/A
ITE00100554,11,-9,2,,,,,,45.4717,9.1892
17660203,6,-24,-18,,,,,,#N/A,#N/A
ITE00100554,6,-24,-18,,,,,,45.4717,9.1892
17660204,17,-5,12,,,,,,#N/A,#N/A
ITE00100554,17,-5,12,,,,,,45.4717,9.1892
17660205,21,-1,20,,,,,,#N/A,#N/A
ITE00100554,21,-1,20,,,,,,45.4717,9.1892
17660206,33,-5,28,,,,,,#N/A,#N/A
ITE00100554,33,-5,28,,,,,,45.4717,9.1892
17660207,30,8,38,,,,,,#N/A,#N/A
ITE00100554,30,8,38,,,,,,45.4717,9.1892
17660208,11,-11,0,,,,,,#N/A,#N/A
ITE00100554,11,-11,0,,,,,,45.4717,9.1892
17660209,25,-7,18,,,,,,#N/A,#N/A
ITE00100554,25,-7,18,,,,,,45.4717,9.1892
17660210,22,-12,10,,,,,,#N/A,#N/A
ITE00100554,22,-12,10,,,,,,45.4717,9.1892
17660211,-1,-35,-36,,,,,,#N/A,#N/A
ITE00100554,-1,-35,-36,,,,,,45.4717,9.1892
17660212,-11,-45,-56,,,,,,#N/A,#N/A
ITE00100554,-11,-45,-56,,,,,,45.4717,9.1892
17660213,30,-4,26,,,,,,#N/A,#N/A
ITE00100554,30,-4,26,,,,,,45.4717,9.1892
17660214,32,-2,30,,,,,,#N/A,#N/A
