Sum of Value,Column Labels,,,,ID,Longitude,Latitude,#Unique Weather Stations,Longitude Instance,Latitude Instance
Row Labels (Date and ID),TMAX,TMIN,Grand Total,,ITE00100554,45.4717,9.1892,1,#N/A,#N/A
17670101,-3,-33,-36,,,,,,#N/A,#N/A
ITE00100554,-3,-33,-36,,,,,,45.4717,9.1892
17670102,-1,-15,-16,,,,,,#N/A,#N/A
ITE00100554,-1,-15,-16,,,,,,45.4717,9.1892
17670103,-13,-37,-50,,,,,,#N/A,#N/A
ITE00100554,-13,-37,-50,,,,,,45.4717,9.1892
17670104,8,-16,-8,,,,,,#N/A,#N/A
ITE00100554,8,-16,-8,,,,,,45.4717,9.1892
17670105,-6,-20,-26,,,,,,#N/A,#N/A
ITE00100554,-6,-20,-26,,,,,,45.4717,9.1892
17670106,-50,-70,-120,,,,,,#N/A,#N/A
ITE00100554,-50,-70,-120,,,,,,45.4717,9.1892
17670107,-110,-132,-242,,,,,,#N/A,#N/A
ITE00100554,-110,-132,-242,,,,,,45.4717,9.1892
17670108,-65,-97,-162,,,,,,#N/A,#N/A
ITE00100554,-65,-97,-162,,,,,,45.4717,9.1892
17670109,-38,-60,-98,,,,,,#N/A,#N/A
ITE00100554,-38,-60,-98,,,,,,45.4717,9.1892
17670110,-4,-18,-22,,,,,,#N/A,#N/A
ITE00100554,-4,-18,-22,,,,,,45.4717,9.1892
17670111,-93,-119,-212,,,,,,#N/A,#N/A
ITE00100554,-93,-119,-212,,,,,,45.4717,9.1892
17670112,-59,-93,-152,,,,,,#N/A,#N/A
ITE00100554,-59,-93,-152,,,,,,45.4717,9.1892
17670113,-83,-99,-182,,,,,,#N/A,#N/A
ITE00100554,-83,-99,-182,,,,,,45.4717,9.1892
17670114,-32,-48,-80,,,,,,#N/A,#N/A
ITE00100554,-32,-48,-80,,,,,,45.4717,9.1892
17670115,-12,-28,-40,,,,,,#N/A,#N/A
ITE00100554,-12,-28,-40,,,,,,45.4717,9.1892
17670116,-39,-63,-102,,,,,,#N/A,#N/A
ITE00100554,-39,-63,-102,,,,,,45.4717,9.1892
17670117,-15,-31,-46,,,,,,#N/A,#N/A
ITE00100554,-15,-31,-46,,,,,,45.4717,9.1892
17670118,6,-18,-12,,,,,,#N/A,#N/A
ITE00100554,6,-18,-12,,,,,,45.4717,9.1892
17670119,-34,-58,-92,,,,,,#N/A,#N/A
ITE00100554,-34,-58,-92,,,,,,45.4717,9.1892
17670120,-36,-60,-96,,,,,,#N/A,#N/A
ITE00100554,-36,-60,-96,,,,,,45.4717,9.1892
17670121,-6,-36,-42,,,,,,#N/A,#N/A
ITE00100554,-6,-36,-42,,,,,,45.4717,9.1892
17670122,-41,-67,-108,,,,,,#N/A,#N/A
ITE00100554,-41,-67,-108,,,,,,45.4717,9.1892
17670123,-37,-55,-92,,,,,,#N/A,#N/A
ITE00100554,-37,-55,-92,,,,,,45.4717,9.1892
17670124,-54,-94,-148,,,,,,#N/A,#N/A
ITE00100554,-54,-94,-148,,,,,,45.4717,9.1892
17670125,-51,-91,-142,,,,,,#N/A,#N/A
ITE00100554,-51,-91,-142,,,,,,45.4717,9.1892
17670126,-56,-96,-152,,,,,,#N/A,#N/A
ITE00100554,-56,-96,-152,,,,,,45.4717,9.1892
17670127,-48,-90,-138,,,,,,#N/A,#N/A
ITE00100554,-48,-90,-138,,,,,,45.4717,9.1892
17670128,-45,-87,-132,,,,,,#N/A,#N/A
ITE00100554,-45,-87,-132,,,,,,45.4717,9.1892
17670129,-10,-52,-62,,,,,,#N/A,#N/A
ITE00100554,-10,-52,-62,,,,,,45.4717,9.1892
17670130,-7,-49,-56,,,,,,#N/A,#N/A
ITE00100554,-7,-49,-56,,,,,,45.4717,9.1892
17670131,-3,-47,-50,,,,,,#N/A,#N/A
ITE00100554,-3,-47,-50,,,,,,45.4717,9.1892
17670201,-8,-44,-52,,,,,,#N/A,#N/A
ITE00100554,-8,-44,-52,,,,,,45.4717,9.1892
17670202,-7,-43,-50,,,,,,#N/A,#N/A
ITE00100554,-7,-43,-50,,,,,,45.4717,9.1892
17670203,7,-39,-32,,,,,,#N/A,#N/A
ITE00100554,7,-39,-32,,,,,,45.4717,9.1892
17670204,-22,-44,-66,,,,,,#N/A,#N/A
ITE00100554,-22,-44,-66,,,,,,45.4717,9.1892
17670205,32,0,32,,,,,,#N/A,#N/A
