Sum of Value,Column Labels,,,,ID,Longitude ,Latitude,#Unique Weather Station IDs,Longitude Instance,Latitude Instance
Row Labels(Date and ID),TMAX,TMIN,Grand Total,,ITE00100554,45.4717,9.1892,1,#N/A,#N/A
17700101,-4,-34,-38,,,,,,#N/A,#N/A
ITE00100554,-4,-34,-38,,,,,,45.4717,9.1892
17700102,40,10,50,,,,,,#N/A,#N/A
ITE00100554,40,10,50,,,,,,45.4717,9.1892
17700103,10,-10,0,,,,,,#N/A,#N/A
ITE00100554,10,-10,0,,,,,,45.4717,9.1892
17700104,12,-12,0,,,,,,#N/A,#N/A
ITE00100554,12,-12,0,,,,,,45.4717,9.1892
17700105,7,-7,0,,,,,,#N/A,#N/A
ITE00100554,7,-7,0,,,,,,45.4717,9.1892
17700106,16,-10,6,,,,,,#N/A,#N/A
ITE00100554,16,-10,6,,,,,,45.4717,9.1892
17700107,-5,-37,-42,,,,,,#N/A,#N/A
ITE00100554,-5,-37,-42,,,,,,45.4717,9.1892
17700108,-6,-32,-38,,,,,,#N/A,#N/A
ITE00100554,-6,-32,-38,,,,,,45.4717,9.1892
17700109,-15,-47,-62,,,,,,#N/A,#N/A
ITE00100554,-15,-47,-62,,,,,,45.4717,9.1892
17700110,-18,-44,-62,,,,,,#N/A,#N/A
ITE00100554,-18,-44,-62,,,,,,45.4717,9.1892
17700111,2,-20,-18,,,,,,#N/A,#N/A
ITE00100554,2,-20,-18,,,,,,45.4717,9.1892
17700112,13,-15,-2,,,,,,#N/A,#N/A
ITE00100554,13,-15,-2,,,,,,45.4717,9.1892
17700113,-2,-30,-32,,,,,,#N/A,#N/A
ITE00100554,-2,-30,-32,,,,,,45.4717,9.1892
17700114,8,-14,-6,,,,,,#N/A,#N/A
ITE00100554,8,-14,-6,,,,,,45.4717,9.1892
17700115,-6,-30,-36,,,,,,#N/A,#N/A
ITE00100554,-6,-30,-36,,,,,,45.4717,9.1892
17700116,-8,-32,-40,,,,,,#N/A,#N/A
ITE00100554,-8,-32,-40,,,,,,45.4717,9.1892
17700117,2,-28,-26,,,,,,#N/A,#N/A
ITE00100554,2,-28,-26,,,,,,45.4717,9.1892
17700118,39,3,42,,,,,,#N/A,#N/A
ITE00100554,39,3,42,,,,,,45.4717,9.1892
17700119,9,-27,-18,,,,,,#N/A,#N/A
ITE00100554,9,-27,-18,,,,,,45.4717,9.1892
17700120,30,0,30,,,,,,#N/A,#N/A
ITE00100554,30,0,30,,,,,,45.4717,9.1892
17700121,15,-3,12,,,,,,#N/A,#N/A
ITE00100554,15,-3,12,,,,,,45.4717,9.1892
17700122,32,-6,26,,,,,,#N/A,#N/A
ITE00100554,32,-6,26,,,,,,45.4717,9.1892
17700123,10,-22,-12,,,,,,#N/A,#N/A
ITE00100554,10,-22,-12,,,,,,45.4717,9.1892
17700124,41,9,50,,,,,,#N/A,#N/A
ITE00100554,41,9,50,,,,,,45.4717,9.1892
17700125,41,1,42,,,,,,#N/A,#N/A
ITE00100554,41,1,42,,,,,,45.4717,9.1892
17700126,40,0,40,,,,,,#N/A,#N/A
ITE00100554,40,0,40,,,,,,45.4717,9.1892
17700127,40,6,46,,,,,,#N/A,#N/A
ITE00100554,40,6,46,,,,,,45.4717,9.1892
17700128,23,-5,18,,,,,,#N/A,#N/A
ITE00100554,23,-5,18,,,,,,45.4717,9.1892
17700129,40,-2,38,,,,,,#N/A,#N/A
ITE00100554,40,-2,38,,,,,,45.4717,9.1892
17700130,47,5,52,,,,,,#N/A,#N/A
ITE00100554,47,5,52,,,,,,45.4717,9.1892
17700131,50,6,56,,,,,,#N/A,#N/A
ITE00100554,50,6,56,,,,,,45.4717,9.1892
17700201,72,28,100,,,,,,#N/A,#N/A
ITE00100554,72,28,100,,,,,,45.4717,9.1892
17700202,66,22,88,,,,,,#N/A,#N/A
ITE00100554,66,22,88,,,,,,45.4717,9.1892
17700203,61,25,86,,,,,,#N/A,#N/A
ITE00100554,61,25,86,,,,,,45.4717,9.1892
17700204,62,16,78,,,,,,#N/A,#N/A
ITE00100554,62,16,78,,,,,,45.4717,9.1892
17700205,72,26,98,,,,,,#N/A,#N/A
ITE00100554,72,26,98,,,,,,45.4717,9.1892
17700206,72,26,98,,,,,,#N/A,#N/A
ITE00100554,72,26,98,,,,,,45.4717,9.1892
17700207,84,46,130,,,,,,#N/A,#N/A
ITE00100554,84,46,130,,,,,,45.4717,9.1892
17700208,36,14,50,,,,,,#N/A,#N/A
ITE00100554,36,14,50,,,,,,45.4717,9.1892
17700209,50,18,68,,,,,,#N/A,#N/A
ITE00100554,50,18,68,,,,,,45.4717,9.1892
17700210,34,12,46,,,,,,#N/A,#N/A
ITE00100554,34,12,46,,,,,,45.4717,9.1892
17700211,58,24,82,,,,,,#N/A,#N/A
ITE00100554,58,24,82,,,,,,45.4717,9.1892
17700212,70,36,106,,,,,,#N/A,#N/A
ITE00100554,70,36,106,,,,,,45.4717,9.1892
17700213,84,32,116,,,,,,#N/A,#N/A
ITE00100554,84,32,116,,,,,,45.4717,9.1892
17700214,76,24,100,,,,,,#N/A,#N/A
ITE00100554,76,24,100,,,,,,45.4717,9.1892
17700215,82,30,112,,,,,,#N/A,#N/A
ITE00100554,82,30,112,,,,,,45.4717,9.1892
17700216,62,38,100,,,,,,#N/A,#N/A
ITE00100554,62,38,100,,,,,,45.4717,9.1892
17700217,87,43,130,,,,,,#N/A,#N/A
ITE00100554,87,43,130,,,,,,45.4717,9.1892
17700218,96,42,138,,,,,,#N/A,#N/A
ITE00100554,96,42,138,,,,,,45.4717,9.1892
17700219,108,54,162,,,,,,#N/A,#N/A
ITE00100554,108,54,162,,,,,,45.4717,9.1892
17700220,102,48,150,,,,,,#N/A,#N/A
ITE00100554,102,48,150,,,,,,45.4717,9.1892
17700221,81,35,116,,,,,,#N/A,#N/A
ITE00100554,81,35,116,,,,,,45.4717,9.1892
17700222,79,53,132,,,,,,#N/A,#N/A
ITE00100554,79,53,132,,,,,,45.4717,9.1892
17700223,51,25,76,,,,,,#N/A,#N/A
ITE00100554,51,25,76,,,,,,45.4717,9.1892
17700224,67,21,88,,,,,,#N/A,#N/A
ITE00100554,67,21,88,,,,,,45.4717,9.1892
17700225,73,27,100,,,,,,#N/A,#N/A
ITE00100554,73,27,100,,,,,,45.4717,9.1892
17700226,54,8,62,,,,,,#N/A,#N/A
ITE00100554,54,8,62,,,,,,45.4717,9.1892
17700227,49,1,50,,,,,,#N/A,#N/A
ITE00100554,49,1,50,,,,,,45.4717,9.1892
17700228,45,-3,42,,,,,,#N/A,#N/A
ITE00100554,45,-3,42,,,,,,45.4717,9.1892
17700301,62,14,76,,,,,,#N/A,#N/A
ITE00100554,62,14,76,,,,,,45.4717,9.1892
17700302,84,24,108,,,,,,#N/A,#N/A
ITE00100554,84,24,108,,,,,,45.4717,9.1892
17700303,105,55,160,,,,,,#N/A,#N/A
ITE00100554,105,55,160,,,,,,45.4717,9.1892
17700304,118,58,176,,,,,,#N/A,#N/A
ITE00100554,118,58,176,,,,,,45.4717,9.1892
17700305,119,69,188,,,,,,#N/A,#N/A
ITE00100554,119,69,188,,,,,,45.4717,9.1892
17700306,109,59,168,,,,,,#N/A,#N/A
ITE00100554,109,59,168,,,,,,45.4717,9.1892
17700307,93,65,158,,,,,,#N/A,#N/A
ITE00100554,93,65,158,,,,,,45.4717,9.1892
17700308,95,45,140,,,,,,#N/A,#N/A
ITE00100554,95,45,140,,,,,,45.4717,9.1892
17700309,84,56,140,,,,,,#N/A,#N/A
ITE00100554,84,56,140,,,,,,45.4717,9.1892
17700310,95,67,162,,,,,,#N/A,#N/A
ITE00100554,95,67,162,,,,,,45.4717,9.1892
17700311,90,60,150,,,,,,#N/A,#N/A
ITE00100554,90,60,150,,,,,,45.4717,9.1892
17700312,120,68,188,,,,,,#N/A,#N/A
ITE00100554,120,68,188,,,,,,45.4717,9.1892
17700313,118,88,206,,,,,,#N/A,#N/A
ITE00100554,118,88,206,,,,,,45.4717,9.1892
