Sum of Value,Column Labels,,,,ID,Longitude,Latitude,#Unique Weather Station IDs,Longitude Instance,Latitude Instance
Row Labels(Date and ID),TMAX,TMIN,Grand Total,,ITE00100554,45.4717,9.1892,1,#N/A,#N/A
17710101,63,43,106,,,,,,#N/A,#N/A
ITE00100554,63,43,106,,,,,,45.4717,9.1892
17710102,63,43,106,,,,,,#N/A,#N/A
ITE00100554,63,43,106,,,,,,45.4717,9.1892
17710103,66,46,112,,,,,,#N/A,#N/A
ITE00100554,66,46,112,,,,,,45.4717,9.1892
17710104,68,44,112,,,,,,#N/A,#N/A
ITE00100554,68,44,112,,,,,,45.4717,9.1892
17710105,51,27,78,,,,,,#N/A,#N/A
ITE00100554,51,27,78,,,,,,45.4717,9.1892
17710106,46,16,62,,,,,,#N/A,#N/A
ITE00100554,46,16,62,,,,,,45.4717,9.1892
17710107,37,5,42,,,,,,#N/A,#N/A
ITE00100554,37,5,42,,,,,,45.4717,9.1892
17710108,5,-27,-22,,,,,,#N/A,#N/A
ITE00100554,5,-27,-22,,,,,,45.4717,9.1892
17710109,15,-7,8,,,,,,#N/A,#N/A
ITE00100554,15,-7,8,,,,,,45.4717,9.1892
17710110,0,-32,-32,,,,,,#N/A,#N/A
ITE00100554,0,-32,-32,,,,,,45.4717,9.1892
17710111,-22,-44,-66,,,,,,#N/A,#N/A
ITE00100554,-22,-44,-66,,,,,,45.4717,9.1892
17710112,12,-10,2,,,,,,#N/A,#N/A
ITE00100554,12,-10,2,,,,,,45.4717,9.1892
17710113,12,-4,8,,,,,,#N/A,#N/A
ITE00100554,12,-4,8,,,,,,45.4717,9.1892
17710114,24,2,26,,,,,,#N/A,#N/A
ITE00100554,24,2,26,,,,,,45.4717,9.1892
17710115,-7,-31,-38,,,,,,#N/A,#N/A
ITE00100554,-7,-31,-38,,,,,,45.4717,9.1892
17710116,28,12,40,,,,,,#N/A,#N/A
ITE00100554,28,12,40,,,,,,45.4717,9.1892
17710117,37,13,50,,,,,,#N/A,#N/A
ITE00100554,37,13,50,,,,,,45.4717,9.1892
17710118,40,16,56,,,,,,#N/A,#N/A
ITE00100554,40,16,56,,,,,,45.4717,9.1892
17710119,43,19,62,,,,,,#N/A,#N/A
ITE00100554,43,19,62,,,,,,45.4717,9.1892
17710120,55,31,86,,,,,,#N/A,#N/A
ITE00100554,55,31,86,,,,,,45.4717,9.1892
17710121,48,30,78,,,,,,#N/A,#N/A
ITE00100554,48,30,78,,,,,,45.4717,9.1892
17710122,67,35,102,,,,,,#N/A,#N/A
ITE00100554,67,35,102,,,,,,45.4717,9.1892
17710123,57,19,76,,,,,,#N/A,#N/A
ITE00100554,57,19,76,,,,,,45.4717,9.1892
17710124,63,37,100,,,,,,#N/A,#N/A
ITE00100554,63,37,100,,,,,,45.4717,9.1892
17710125,60,20,80,,,,,,#N/A,#N/A
ITE00100554,60,20,80,,,,,,45.4717,9.1892
17710126,61,27,88,,,,,,#N/A,#N/A
ITE00100554,61,27,88,,,,,,45.4717,9.1892
17710127,54,36,90,,,,,,#N/A,#N/A
ITE00100554,54,36,90,,,,,,45.4717,9.1892
17710128,52,10,62,,,,,,#N/A,#N/A
ITE00100554,52,10,62,,,,,,45.4717,9.1892
17710129,66,24,90,,,,,,#N/A,#N/A
ITE00100554,66,24,90,,,,,,45.4717,9.1892
17710130,60,18,78,,,,,,#N/A,#N/A
ITE00100554,60,18,78,,,,,,45.4717,9.1892
17710131,63,27,90,,,,,,#N/A,#N/A
ITE00100554,63,27,90,,,,,,45.4717,9.1892
17710201,49,19,68,,,,,,#N/A,#N/A
ITE00100554,49,19,68,,,,,,45.4717,9.1892
17710202,69,33,102,,,,,,#N/A,#N/A
ITE00100554,69,33,102,,,,,,45.4717,9.1892
17710203,112,66,178,,,,,,#N/A,#N/A
ITE00100554,112,66,178,,,,,,45.4717,9.1892
17710204,68,22,90,,,,,,#N/A,#N/A
